RecordedDate,Q1:Lawyer,Q2:Lawyer,Q2,Q1:Politician,Q2:Politician,Q3,id
2024-04-17 14:31:38,dishonest ,empathy,Yes,they are corrupt ,they make fair choices,"hungry, thirsty, bored",33907
2024-04-17 14:36:09,They're very organized and logical. They're also always studying and reading. They always dress nice.,Being disorganized.,Yes,Very extroverted. Selfish and power hungry. ,Warm hearted,"Being thirsty, fit/healthy",29914
2024-04-17 14:49:30,"hot headed, analytical, quick on their feet","go with the flow, slow",Yes,"disrespectful, wealthy, educated","warm hearted, empathetic","hygienic, valuable",31256
2024-04-17 14:50:12,"stern, smart, knowledgeable, ","insecure, timid, introvert",Yes,"Aggressive, white men, old, liars","helpful, trustworthy, caring","fitness level, activity",33457
2024-04-17 14:51:15,"uptight, rich, likes to argue, ",emotional ,Yes,"evil, greedy, selfish","kind, selfless",smart,33510
2024-04-17 14:56:03,They are good at arguing,compassion ,Yes,"Rude, arrogant, one sided ",honesty ,"Tiredness, stress",34375
2024-04-17 14:56:38,"Rich, understanding, smart",Dumb,Yes,"Fraud, money hungry, rich, don't care about poor","Empathetic, kind, poor",Smart,34427
2024-04-17 14:58:18,"smart, arrogant, hard working, dedicated, rude, know-it-all","funny, bubbly personality, likes to go out",Yes,"liars, arrogant, know-it-alls","quiet, shy, avoids conflict",athletic: being a lawyer or politician doesn't make you more or less likely to be athletic compared with the average person,25573
2024-04-17 14:58:20,smart,smart,Yes,smart,smart,stupid,28775
2024-04-17 15:01:05,"analytical, hard working, a bit corrupt","unintelligent, lazy",Yes,"Greedy, corrupt",Compassion,"Healthy, a good driver",29714
2024-04-17 15:01:42,"Smart, argumentative","Dumb, shy, nonconfrontational",Yes,"Greedy, Mean, Biased","Honest, true, unbiased","Nonconfrontational, quiet, passive",32913
2024-04-17 15:11:43,"Corrupt, money-seeking, liars, cheaters, unethical ","Kind, warm",Yes,"Corrupt, fake, two-faced, looking out for themselves, not genuine, greedy, wealthy","Generous, honest","Pained, mentally ill",33550
2024-04-17 15:14:23,"they follow rules, do what's right, have a good work ethic","they party, they have fun",Yes,they are informed on current news,they aren't educated ,"funny, emotional, mad, happy,",31621
2024-04-17 15:15:25,Rich and smart,Broke and incompetent,Yes,'- untrustworthy,'- that they are truthful,Happiness,33592
2024-04-17 15:22:27,"brutal, aggressive, opinionated, detailed","helpful, kind, smrt",Yes,"rude, reedy, liars","nice, helpful",emotional,34069
2024-04-17 15:23:50,,,Yes,"Selfish, unrealistic, out of touch","caring, ",hungry,27237
2024-04-17 15:31:32,They just care about money,A caring heart,Yes,"All they do is argue, They don't really do what they say thier going to do",To follow through on their word and be there for the people they represent them,,33036
2024-04-17 15:38:01,"busy, smart, money hungry","biased, under educated",Yes,"rude, closed minded, direct","rude, uneducated","broke, low iq",34442
2024-04-17 15:38:33,"bossy, driven, uptight, hardworking","lazy, judgmental",Yes,"corrupt, rude, unkind, lazy","fair, funny, relaxed ","thirsty, charismatic, openminded ",31664
2024-04-17 15:38:55,,,Yes,,,,34368
2024-04-17 15:48:52,rich,poor,Yes,scummy,kind,cliques,8492
2024-04-17 15:52:10,"determined, cunning, quick on feet, extroverted, passionate, sometimes selfish, sees throught black and white lense, argumentive, and educated.","  introverted, agreeable, lazy, and understanding. ",Yes,"selfish, mean, narcissistic, goal-orientated, influencers, good public speaking skills, persuasive, comfortable with public eye, extroverted, and opinioated, ","Passive, soft-spoken, introverted, trusting ","excited, sad, annoying ",25823
2024-04-17 16:01:13,"Self-Centered, Helpful, About the Money.","Rude, Needful.",Yes,"Old, Diplomatic, Weary.","Self-Centered, Rude, Want good for themselves.","Sleepy, Anger, Passion",32359
2024-04-17 16:08:48,want money ,want money ,Yes,corrupt,weird,want money ,34370
2024-04-17 16:14:12,"Intelligent, detail oriented, money driven","Forgetful, unintelligent",Yes,"Dirty, want money, corrupt","Moral, in touch, intelligent","silly, crazy, wacky, goofy",33397
2024-04-17 16:19:47,"smart, hard working, argues a lot","easy going, lazy",Yes,"corrupt, strict, smart","easy going, quiet","tired, fit, pretty",30984
2024-04-17 16:22:08,not good guys,love,Yes,strict,smart,smart,34004
2024-04-17 16:23:36,Lawyers are greedy. Evil. Have a lot of money. Snobby. Suited. Very educated.,Exceptionally kind. Outgoing. Charitable.,Yes,Greedy. Desire power. Manipulators. Well spoken. Fancy. Loud voice. Sometimes out of touch.,Exceptionally kind. Lazy. Messy. Uneducated.,Athletic level. Tastes. Personality. Technical skills.,32924
2024-04-17 16:26:31,"smart, they are hard workers, they dont get a lot of sleep, they take their work home","lazy, dumb, not driven",Yes,"arrogant, have a god complex, griddy, smart, manipultive",that they are carring and genuine,being funny ,34092
2024-04-17 16:28:11,"Judgemental, smart, scary, good temper",heavy hearted,Yes,"mean, manipulated, strong-willed",caring,"caring, loving, likable",34158
2024-04-17 16:34:17,"Smart, Organized, Extroverted, Educated, Intelligent","Selfish, Introverted, Messy, Egotistical",Yes,"Egotistical, Manipulative, Dishonest","Honest, Disorganized",Thirsty,34159
2024-04-17 16:36:12,"Smart, Educated, Rich","Poor, Uneducated, Criminal",Yes,"Greedy, Selfish","Young, Relatable, Fun","happy, sad, mad, ",33544
2024-04-17 16:44:33,"Dishonest, greedy, arrogant, competitive","Introverted, lack of empathy, ",Yes,"Self-confident, conceited, agressive","lazy, humility, vulnerability, authenticity","humor, creativity, altruism. ",33903
2024-04-17 16:45:09,"be wealthy, being just, also they are serious.","commical, loud and abnoxious",Yes,"they are untrustworthy, they are wealthy, and they are unintelligent.",be trustworthy,"hungry, and thirsty does not belong to a group.",30222
2024-04-17 16:47:49,"poweful, blunt, strightforard, liars, rich ",lying,Yes,"corrupt, cheaters",inclusivity ,happy,34101
2024-04-17 16:47:50,judgemental ,empathy compassion,Yes,narcissistic ,coolheaded ,sleepy ,32619
2024-04-17 16:53:39,"loud, argue a lot, mean, smart",hurtful intent,Yes,"greedy, old, republican, ",actual kindness from the heart ,all of us laugh the same no matter the occupation,34008
2024-04-17 17:02:17,"stern, stressed ","lazy, unintelligent ",Yes,"egotistical, wealthy, narrow minded ","Compassionate, understanding, openfullness ","tall, short ",25292
2024-04-17 17:04:15,"good at negotiating, dressed up, argumentative","nervous, anxious, bad at communication",Yes,"liars, rich, strong opinions","poor, young, non-citizen, not corrupt","tired, stressed, busy",31633
2024-04-17 17:06:55,"Aggressive, straight forward or dishonest","difficult, smart, strategic",Yes,"confident, risk-takers, assertive","smart, inspiring","anxiety, shame, self-esteem",33373
2024-04-17 17:08:23,They are liars,They are stupid,Yes,They aren't honest,They aren't good at speaking to people,They enjoy a break,33956
2024-04-17 17:10:09,"rich, fancy, successful, smart","poor, messy, lazy",Yes,"liars, smart, rich, powerful",that they have our best interest ,"athletic, worthy",33022
2024-04-17 17:12:08,"That they are good at arguing, that they are professional","unorganized, quiet",Yes,"smart, educated, peaceful","stupid, judgmental, biased","tired, hungry, bored",31102
2024-04-17 17:12:36,Dishonest and muniplative ,Honest,Yes,not open minded,understanding others perspectives,good person,34225
2024-04-17 17:15:40,vulnerability,impulsivity,Yes,"dishonesty, bias",transparency,sleepy and aging,34152
2024-04-17 17:22:46,"smart, hard working, rich, manipulator, strategic, ","lazy, honest, relaxed, ",Yes,"corrupt, liars, manipulators, greedy, leaders, money hungry,","genuine, giving, poor, loyal"," beautiful, kind, caring, sad, happy, creative, enthusiastic, loving",33069
2024-04-17 17:23:11,"Lawyers are super smart, lawyers are dedicated, lawyers are rich, lawyers know how to lie, lawyers are persuasive","lawyers are not educated, lawyers do not know the laws, lawyers do not know how to study, lawyers do not care about the people",Yes,"politicians are associated with only one party, politicians are not the nicest people, politicians think they are better then everyone else, politicians are not trustworthy, politicians are dirty   ","politicians are dumb, politicians are uneducated, politicians do not know whats going on globally, politicians do not have strong opinions, politicians are broke  ","being more social, being more physically active, having fast reflexes, the need to contacts or glasses, food preferences, hobbies outside of work, favorite movie, favorite food, ",33003
2024-04-17 17:23:52,"They only care about money, they like to argue","Selfless, Ignorant, Ill-dressed",Yes,"They don't listen, they are old, they argue a lot, they don't have a strong moral code","Kind, thoughtful, smart, critical thinking skills","tired, short, tall, sick, old, young",34413
2024-04-17 17:26:15,"mean, rude",empathy,Yes,"racist, xenophobe, pathological liar etc",kindness,yes,34220
2024-04-17 17:28:58,"snobby, stuck up, smart, rich","caring, warm, ",Yes,"racist, old, stupid, white, male","smart, impactful, a good person","tired, lazy, tall, short",34173
2024-04-17 17:32:50,"Rich, arrogant, powerful, smart, busy","Humble, family people, financially unstable, lack of intelligence",Yes,"Selfish, powerful, entitled, extraverted, shady","introverted, selfless, athletic","hungry, athletic, artistic",31876
2024-04-17 17:33:44,"no souls, like to argue, impersonable, rich, white","personable, social lives, friendly, down-to-earth",Yes,"old, corrupt, white, far ends of the spectrum, bribable, greedy","young, works to please everyone, personable, authentic","competent, athletic, hard-working, kind, respectful",34233
2024-04-17 17:34:25,"Good, Lawful, Important, Representatives.","Corrupt, Scammers, Waste ",Yes,"Important, leaders, disasters, 50/50","Good, Interesting, Non-corrupt","Beneficial, Right, Wrong, Important?",33836
2024-04-17 17:40:54,"they are rich, they are mostly men, some of them lie to get through a trial","bias, insensitive ",Yes,"rich, opinionated, and pot stirrers","weak back-bone, empathetic ",I am not sure what this means,27192
2024-04-17 17:44:57,"'- persuasive, wealthy, workaholic, ambitious, argumentative","careless, lazy, disorganized, indecisive",Yes,"munipulative, dishonest, charismatic","straightforward, selfless, reserved","friendly, reliable, sociable",34447
2024-04-17 17:47:24,"Smart, arrogant, hard working, determined","lazy, unmotivated",Yes,"arrogant, loud, not shy, sly","pure, 100% truthful, shy",morals,32073
2024-04-17 17:47:32,"talkative, smart, savvy.","quiet, reserved, dumb.",Yes,"Sneaky, crooked, powerful, important.","Introverted, quiet, dumb.",smart,33302
2024-04-17 17:52:03,"argumentative, ambitious, selfless, ","selfish, not demanding, careless",Yes,"Grumpy, close minded, conservative or liberate, argumentative, stubborn","not argumentative, selfish, not caring","emotional, romantic, social, likeable",32585
2024-04-17 17:55:26,"serious, straight-forward, two-faced",shy,Yes,say what people want to hear,straight forward,thirsty,33300
2024-04-17 17:57:45,"lawyers are professional liars, lawyers advocate for criminals",lawyers are advocates for justice,Yes,"politicians are liars, politicians don't care about the community they care about the money, they don't make changes they make more problems","politicians do make positive changes, politicians value their positions",being a lawyer or politician probably doesn't make you more or less likely to struggle compared to the average person,33286
2024-04-17 18:04:32,smart and careful,"lazy, straitfoward, dumb",Yes,"secritive, hard working, ","trustworthy, lazy","sleepy, curious",31978
2024-04-17 18:05:46,"Very smart, always on the go, no time, no hobbies, their life is their job","low education, much spare time",Yes,"Egoistical, pretentious, know-it-all's, women can't be politicians, ","Being a women, low education degree, young","thirsty, clean, animal lover, hobbies",30816
2024-04-17 18:08:55,They are money hungry. They are mean. They don’t have a a strong moral ground. They are usually not diverse. They have money. They are good liars. They have big egos. They always think they are right. ,They are very sweet. They care about the “little guy”. They don’t care about money.  ,Yes,They are snobs. They don’t care about minorities. They like attaention. They. Are evil. They have strong political beliefs. ,"Caring , selflessness, kindness, ","Emotional , happy, ",33643
2024-04-17 18:11:05,"Hard headed, stern, strict, care for money, willing to defend someone guilty for money","Compassion, kindness, morals ",Yes,"They are pushy, hard headed, heated, only believe their own beliefs, are stupid ","Kindness, open-minded, listeners, smart, empathetic","Sleepy, boring",33694
2024-04-17 18:17:55,"Stuck up, snobby, pretentious, rude, rich, white, males","caring, kind",Yes,"corrupt, crooks, money hunger, liars",honest,"tired, exhausted",24444
2024-04-17 18:22:08,"selfish, no empathy to others","empathy, kindness",Yes,"liers, narcissistic, not empathetic ","empathy, honesty, kindness","flexibility, optimism",33366
2024-04-17 18:41:57,"they're rich, overpayed, boring","honest, poor",Yes,"they're extremely old, they get nothing done, they're dumb, ","Not be power hungry, to do it for not selfish reasons","happy, fulfilled, ",34261
2024-04-17 18:52:33,"Lawyers are liars, Lawyers are workaholics, Lawyers are arrogant, Lawyers are Manipulative","Socially Awkward, Shy, Quiet, Meek, Gentle, Compassionate, ",Yes,Politicians are Corrupt,I have no idea,"Tall, Short, Fat, Thin, Thirsty",17539
2024-04-17 18:53:04,They are smart. They usually have people's best interest at heart. They lie for people.,They want to put people in jail. They do not care about money.,Yes,They lie. They can not be trusted. They do not mean well. They are bad people,To be honest. To have no ulterior motive.,Being lonely. Being a lawyer or politician doesn't make you more or less bored than the average person. ,34322
2024-04-17 19:00:20,"Some people think lawyers are evil and money hungry, others believe that they are trying to make a difference in the world and help people",Traits people do not believe lawyers have are happiness and willingness to I have fun,Yes,"Many people believe that republicans are inherently evil, Independent or non party affiliated people are the better ones to vote for",No one expects honesty from politicians,"Empathetic to people they know, thirsty, tired, excited",33889
2024-04-17 19:03:00,"argumentative, strict, passionate, ","kind, empathetic, quiet",Yes,"passionate, narrow minded, manipulative ","kind, soft, empathetic ","music lovers, able to enjoy reading/watch tv, cleanliness ",33856
2024-04-17 19:03:59,"driven by money, driven by ability to win a case, not focused on who they are representing","truly caring towards clients, not money driven",Yes,"often they are too old to be making decisions, they are out of touch with the working class","truly caring, true to their word, able to perform points that got them their jobs","happy, tired",33305
2024-04-17 19:06:14,"smart, nerdy, know it alls, argumentative",fun,Yes,"stupid, old, bad representatives","inclusive, smart",fitness,33586
2024-04-17 19:07:39,hearty,tough,Yes,No personality,Unhygenic,hungry,33387
2024-04-17 19:11:44,they always want to see an individual go to jail.,"Given the high-stakes nature of legal work and the need for attention to detail, people might not expect lawyers to be carefree or laid-back individuals.",Yes,"Some believe that politicians often present themselves in a calculated and artificial manner, lacking genuine sincerity or conviction in their words and actions.","While many politicians are extroverted and thrive in social settings, there are certainly introverted individuals who excel in politics as well. They might prefer quieter, more introspective approaches to leadership.","Empathy: While lawyers are often portrayed as assertive and analytical, empathy might not be a trait commonly associated with them due to the adversarial nature of legal proceedings. However, empathy can be crucial in understanding clients' needs and building rapport with judges and juries.Transparency: While transparency is valued in theory, the political arena often rewards strategic communication and message control. However, a commitment to transparency can enhance accountability and trust in politicians.",34450
2024-04-17 19:12:53,"bossy, uptight, cold-hearted",caring,Yes,"liars, cheaters, pigs",has respect for all people ,thirsty ,30920
2024-04-17 19:13:20,"He only handles civil cases where he can make money, such as divorce cases, because the odds of winning in criminal trials are low.","To believe in the defendant or client and fight fair and square to win their innocence, even when the odds are overwhelmingly against them.",Yes,Politicians are basically all talk and no work.,"To enthusiastically promote policies that the people, especially the low-income and middle class, really want.",Just because someone is a politician or a lawyer does not mean that his or her family is worth more than other ordinary people. That is why it is not acceptable to use power and financial resources to cover up family scandals.,34058
2024-04-17 19:13:56,"Rich, Smart","Nice, easygoing, shy ",Yes,"Rude, Loud",Calm ,Interesting ,34238
2024-04-17 19:18:26,"mean, smart","nice, dumb",Yes,"rich, corrupt, powrful",kind,tired busy,32986
2024-04-17 19:22:27,"hard-working, intellectual, informed","foolishness, carelessness, ",Yes,"Greedy, dumb, selfish, mindless","Relatability, empathy, selfishness, greediness","loving, silly, care for looks, tidy",33433
2024-04-17 19:26:41,"rich, power-hungry, smart",lack of intelligene,Yes,"rich, white, men, corrupt, old",debt,tired,29154
2024-04-17 19:30:13,"smart, confident, rude","empathy, easily frieghtend, small",Yes,"They are rude, full of themselves, think they are better than everyone else, know it alls, not trust worthy","Empathy, kind, caring","thirsty, sad, happy, angry, the typically things people feel",33909
2024-04-17 19:38:37,serious ,empathy ,Yes,"republicans are more old school, democrats a more not old school","I can't think of traits a politician wouldn't have, they are humans too ",happy,32650
2024-04-17 19:49:36,They are conniving. ,Passive.,Yes,"Disingenuous, Manipulative.",Unlikely to have a strong moral compass and conscience.,"Capable of Love, Anxious, Proud.",34151
2024-04-17 20:09:11,Rich,Kind,Yes,"Loud, always right",Optimism,"More smart, more active, more strict",32951
2024-04-17 20:09:57,none,none,Yes,none,none,none,34023
2024-04-17 20:23:32,"smart, hardworking","not well spoken, dumb",Yes,"greedy, unethical, ingenuine ","honest, goodhearted, charitable",thirsty,33437
2024-04-17 20:25:00,"smart, high strung ","quiet, not able to stand their ground",Yes,"rude, unfair",quiet,"creative, extravert",32898
2024-04-17 20:46:05,"money hungry, biased, manipulative.","gullible, soft spoken.",Yes,"liers, selfish, ","honest, loyal, trustworthy","cold,hot,happy,sad,angry.",32990
2024-04-17 20:59:12,"smart, quick witted, plain","lazy, dumb",Yes,"liars, conmen, white, deceitful","hard-working, honest, open minded","happy, caring",17728
2024-04-17 21:04:26,"high ego, smart, argumentative, sleezy, ""straight-edged"", likes to talk, rich, ","compassionate, open-minded, ",Yes,"competitive, patriotic, old(maybe too old?), persistent, disingenuous/bogus","sincere, good at listening, ","ambitious, ""troublemakers"",",33497
2024-04-17 21:10:54,Some of them could be true and some of the could help you out.,How much effort they have to put in,Yes,People don't believe in everything and there are lots of fights ,Who they believe in ,People who are gay or the different gender,31628
2024-04-17 21:12:31,They are rich and wear suits ,humor,Yes,they lie and are greedy,genuine care for others ,athleticism ,34439
2024-04-17 21:17:10,"rich, smart","smart, well dressed",Yes,old,"young, out going","tired, sad, unhappy",33216
2024-04-17 21:19:08,"liars, they work a lot, aggressive ","honestly, loyalty, ",Yes,"They are horrible people, rich, you always hear the bad things about them and never the good.","good person, smart, knows what they're doing ",loyalty ,33624
2024-04-17 21:43:29,"smart, thorough, manipulative","unjust, corrupt",Yes,"crooked, evil, corrupt, funny, stupid, smart, better, worse, only hope, dictator","trustworthy, innocent, whole, deserving, worthy","stressed, friendly",33969
2024-04-17 21:49:02,"Argumentative, smart, snotty, professional, men, white, rich","Women, single, a person of color, casual, a member of the LGBTQ+ community",Yes,"Men, dishonest, white, rich, self-serving","Woman, poor, person of color, member of the LGBTQ+ community, has a background in something not related to politics",N/A,34126
2024-04-17 21:49:59,"Sophisticated, focused, determined, always doing homework, very formal speaking, always very vocal","very shy and quiet, unprofessional ",Yes,"argumentative, possibly biased or extremely informed. ","Willing to settle on beliefs,","Caring for others, educated, vocal",33638
2024-04-17 21:53:24,"money-hungry, shady, lying, scheming, cheating","honesty, kindness, altruism",Yes,"shady, lying, scheming, untrustworthy, greedy, money-hungry, power-hungry","benevolence, selflessness, generosity, honesty, integrity","intelligence, writing ability, reading ability, affinity for children",24912
2024-04-17 22:09:19,"Quick witted, crafty, argumentative ","Dumb, lazy, patience ",Yes,"Cunning, Entrepreneurs, Sneaky, Greedy, back-stabbing ",Honesty,"Hungry, Thirsty, youthful",33590
2024-04-17 22:20:31,"Liars, strict, combative, logical, judgmental ","Passive, quiet, unintelligent",Yes,"Assertive, immoral, ruthless, domineering","Moral, honest, righteous","parched, human",34372
2024-04-17 22:45:35,"Harsh, arrogant, argumentative, and busy.","Funny, bummy, or a stoner.",Yes,"Liars, arrogant, clueless, and look put together.",Have a good moral compass,"good looking, hungry, or tired.",33403
2024-04-18 00:02:08, Many believe that lawyers are primarily motivated by money and may prioritize profit over their client's best interests.," People might not expect lawyers to be interested or involved in the arts, such as painting, music, or writing creatively.",Yes,"Politicians are often stereotyped as being untruthful or manipulative, twisting facts to suit their agendas. Corrupt: There's a common belief that politicians are prone to engaging in corruption or unethical behavior to benefit themselves or their allies.","those stereotypes are commonly associated with politicians. They reflect a widespread perception that political figures may prioritize their own interests or those of their close associates over the broader public good. These views are often reinforced by media coverage of political scandals and controversies, which can influence public opinion and contribute to a general sense of skepticism or cynicism towards politicians. This distrust can impact how the public engages with political processes and views governance.","Note that we are NOT asking you of your personal opinion or what you believe to be true. Instead, we just want you to list traits that other undergraduates on campus might not associate with any social group. You can list as many or as few as you would like. In the text box below, please list traits that you would not expect to be more or less likely for Lawyers, Politicians or the average person. A possible example could be hungry: being a Lawyer or Politician probably doesn’t make you more or less likely to be hungry compared to the average person.",33830
2024-04-18 00:32:10,love money,fair,Yes,darkness,kindness,kindness,33076
2024-04-18 03:41:21,Expensive and they are care less ,"Respectful, Soft spoken, Relevant",Yes,"Useless, In for their own good, pawns, Puppets. ","Unity , ","Angry , Scary, Helpless",34135
2024-04-18 05:46:23,They lie a lot,They are nice.,Yes,They are racist ,"To be nice, to actually care",Mean,31838
2024-04-18 06:05:21,"smart, hardworking, altruistic, good with words","selfish, shy, lazy",Yes,"selfish, uninformed, leaders, sleazy","honesty, corrupt, liar, ","athletic, attractive, clean, healthy, romantic, sentimental, strong,",27070
2024-04-18 06:38:40,"rude, straight up, blunt, argumentative ","empathy, gullible",Yes,"rude, secretive, knowledgable, studious","empathy/sympathy, compassion","tired, hungry, stressed, ",25639
2024-04-18 06:40:18,"convincing, determination, mean, strong willed, and busy ","loyal, understanding, nice, and forgiving ",Yes,"overhyped, rude, immature, and dirty ","good people, high stressed, scared, and open minded","young, focused ",28265
2024-04-18 07:04:09,"aloof, pretentious","unintelligent, hesitant",Yes,"immature, aggressive","unintelligent, introverted",thristy,28704
2024-04-18 07:15:12,"they tend to think highly of themselves, like they're better than others. They like to be the center of attention.","Would not expect a lawyer to be easily agreeable, or willing to compromise.",Yes,"People tend to believe politicians are easily corrupted, and can be removed from everyday society.",People would not expect a politician to be a poor speaker or have low self esteem.,being a successful student does not make you more or less athletic.,33870
2024-04-18 07:36:28,Lawyers take any case offered because they still get gain regardless of whether they agree with their client or not.,Lawyers are non-materalistic.,Yes,Politicians are either liberal or conservative.,"Politicans act without personal gain, environmental activism","The need to breathe is not affected by somebody's career / profession, height, sleep, etc.",32788
2024-04-18 07:40:40,that they are snitches but helpful,that they all like cops,Yes,not good ppl,that they are good ppl,"hungry, tall, short, fat, skinny, thirsty, bloodhungry",32901
2024-04-18 08:05:10,some stereotypes about lawyers are that they are good liars and they are always old.,they deal with stress all the time so they could not be good at dealing with stress.  ,Yes,they are very over the top. they can also overgeneralize a lot of people,some don't have empathy and towards others. they sometimes are too selfish as well. ,anxiety would be present in everybody's lives as well as being thirsty. ,34266
2024-04-18 08:06:00,"old, male, high reliable education, stern, mean,  rich",compasssionate,Yes,"very old, cheat, very rich, sly",kindness,curious,33845
2024-04-18 08:10:54,"strong, tough, diligent, brave","sensitive, relaxed, comfortable",Yes,people dont care or they have strong beliefs,relaxation,being a lawyer or politician probably doesn't make you more or less likely to be fit compared to the average person,27903
2024-04-18 08:13:30,they are very strict!,they are not familiar with the laws,Yes,Politicians are corrupt and only interested in personal gain.,Humility Integrity Transparency Compassion,Introverted/extroverted Ambidextrous Punctual Creative Athletic Musical,33219
2024-04-18 08:21:18,"arrogant, greedy, dishonest","unfair, unintelligent",Yes,"mean, biased, dishonest, corrupt","transparency, honesty","favorite color, favorite food, favorite season",32866
2024-04-18 08:48:40,"Harsh, scary, smart, serious ",That they are scary or harsh ,Yes,I’m not sure,Honesty,I don’t get this question ,33821
2024-04-18 08:57:40,"Smart, Wealthy, Demanding","Lazy, Bad communication skills, Shy",Yes,"Corrupt, Liars, Old, Smart, White","Honest, Young, Illiterate","Lawyers and politicians need to be educated very well to work in their field, However the average person would not have the same education experiences as politicians and lawyers.",32662
2024-04-18 09:01:42,,not sure ,Yes,not sure,not sire ,"Cultural Gaps,watch and respond to the other person's body language",32961
2024-04-18 09:04:42,"smart, stuck up, know it all, ","fun, dumb, easy going",Yes,"talk too much, misleading",fun,"overweight, sleepy",28415
2024-04-18 09:05:41,"well payed, smart, dishonest, work very long and hard hours ","not truthful, lazy, doing it just for the money ",Yes,"they are bias, they lie to get a job and never do what they say they will do","lazy, not passionate, bias, predjuce ","hungry, bored ",34324
2024-04-18 09:12:57,"Only work in a courthouse, have bad morals if defending a criminal and they make a lot of money.","One would not expect a lawyer to be uneducated as well as not having public speaking abilities,",Yes,The most common stereotype of politicians is that they don't want whats best for the majority.,Would not expect a politician to have bad social skills.,Being a lawyer or politician doesn't make them any more or less emotional.,34187
2024-04-18 09:16:30,"rich, work a lot, sometimes are dishonest, argumentative","empathetic, kind, respectful ",Yes,"assertiveness, quality, negative, positive, problem solvers, problem causers",empathy,"thirsty, warm, cold",34321
2024-04-18 09:21:55,"don't talk much about lawyers, maybe that their sort of self-centered and in it to make money","all in it to help people, no motivations regarding money",Yes,"too old to run the country, all upper class that don't truly understand the middle and lower class families",in touch with every social class in the country,"I think all social groups have a majority of good people, high work ethic, trustworthiness",33266
2024-04-18 09:25:50,"Argumentative, strong-willed, always want to get their way, workaholic","quiet/shy, does not enjoy public speaking",Yes,"lie/say what people want to hear, confident, like to socialize","shy, quiet, lazy","kind, physically strong, athletic",32173
2024-04-18 09:47:12,"Smart, entitled, know everything, mean by the book, always taking loopholes, rich, owns a lot.","True empathy, an addiction, loving personality, inability to do wrong or harm.",Yes,"Slimeballs, self-serving, unhelpful, waste of time, rich scumbags","Empathy, good work ethic, understanding of their own peoples' needs.","How tired someone is, if they've lost a personal friend, if they have enough money or a family to support.",33126
2024-04-18 09:49:17,"really smart, uptight, unkind, weird","they may be kind, not so weird, ",Yes,"strong willed, rude, scary","really smart, educated(sometimes) ","funny, weird, cool, beautiful, smart ",34154
2024-04-18 09:55:13,"bossy, hard working, rich, greedy, smart, mean","nice, compassionate, caring",Yes,"corrupted, unfair, unjust","caring, compassionate","sleepy, moody",25999
2024-04-18 09:56:11,"Bottom feeders, Inconsiderate, Sponges",Empathy,Yes,"Greedy, immoral ",Humility,empathetic,24141
2024-04-18 09:58:37,"Confident, Wealthy, Smart","Shy, Unintelligent, Lazy",Yes,"Power hungry, greedy, selfish, sneaky ","Selfless, generous","Happy, Tired, Insecure",31860
2024-04-18 09:59:48,they are harsh and to the point,they might not expect a lawyer to have mental health issues,Yes,they are not great people and we do not have great options as a country to chose from,"traits one would not expect a politician to have is bias, impatience, an intellectual disease, ",being a lawyer or politician probably doesn't make you more or less likely to be an active person,33950
2024-04-18 10:02:28,Rich,"Selfish, cocky",Yes,They are rich.,"Kind, that they care about you.","social, nice, ambitious",34001
2024-04-18 10:11:23,"aggressive, manipulative","shy, lazy, soft spoken",Yes,"immoral, old, white, men","submissive, not persuasive, shy","work ethic, education",33339
2024-04-18 10:13:08,They may be heartless,"Disorganized, poor communication ",Yes,"Corrupt, only working towards their agenda",Politicians are ,"attractive, intelligent, timely, organized, hardworking",33438
2024-04-18 10:19:26,"Robotic, Heartless",Empathy,Yes,"Strategic, sleazy, sneaky, well read","Good at sports, bad public speaker","In shape, Tall, Blue eyes",34416
2024-04-18 10:19:46,"dishonest, manlipulation",compassion,Yes,Liars,creative ,N/A,34170
2024-04-18 10:33:42,That they are hard on people.,Kindness,Yes,"Sneaky, liars",kindness,"sad, angry",32985
2024-04-18 10:36:10,They are hard workers,Impulsive,Yes,They are very opinionated ,Shyness,That they struggle with their well being sometimes.,32435
2024-04-18 10:40:06,"Studious, rude, smart","Nice, dumb",Yes,"Fake, self centered","Dumb, inexperience","Thirsty, afraid",34451
2024-04-18 10:42:17,"fierce, hot head","dumb, soft spoken",Yes,"rude, old, ","uneducated, brainless, old","curious, active",34342
2024-04-18 10:52:07,assholes,kind and caring,Yes,assholes,kind and caring,hungry,34034
2024-04-18 10:53:58,"Hardworking, stingy, unfeeling","lazy, caring",Yes,"Greedy, selfish, uncaring","kind, empathetic, selfless","sleepy, athletic",34371
2024-04-18 10:54:15,"Stern, defensive, argumentative","Friendly, quiet, shy, timid, stupid",Yes,"Problematic, confident","Quiet, agreeable",Shy,28550
2024-04-18 10:55:02,"smart, cunning, opportunistic, ","honesty, humility, ",Yes,"selfish, charismatic, corrupt, wealthy","honesty, openness, ","sore, thirsty, hot, cold, tired ",33795
2024-04-18 10:59:07,"smart, stingy, liars, manipulative, ",stupid,Yes,"Sleezy, liars, narcassist, evil","caring, empathetic, smart","unempathetic, excluding",33454
2024-04-18 11:01:19,"they might be hardworking, stressed, intense","that they are have a lot of free time, a social life, or a lot of hobbies",Yes,"that they are unethical, that they have a lot of money, that they are well trained","that they are ethical, that they are happy","hungry, awake, physically fit, mentally stable",28993
